accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AB572138.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,environmental,clay (ENVO:00002982),constructed feature (ENVO:00000070),free-living, ,NA,Japan: Kyoto,Analysis of the eukaryotic community and metabolites found in clay wall material used in the construction of traditional Japanese buildings,"Kitajima,S., Kamei,K., Nishitani,M. and Sato,H.","Biosci. Biotechnol. Biochem. 74 (10), 2083-2086 (2010)",uncultured eukaryote,ABC2_C02,clay wall material,NA,Japan,Analysis of the eukaryotic community and metabolites found in clay wall material used in the construction of traditional Japanese buildings,"Kitajima,S., Kamei,K., Nishitani,M. and Sato,H.","Biosci. Biotechnol. Biochem. 74 (10), 2083-2086 (2010)"
AF244903.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,culture,NA,NA,free-living, ,NA,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)",Paratrimastix pyriformis ATCC50562,NA,NA,NA,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)"
AF244904.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,culture,NA,NA,free-living, ,NA,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)",Paratrimastix pyriformis ATCC50598,NA,NA,NA,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)"
AF244905.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix eleionoma,Paratrimastix eleionoma,isolate,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living, ,NA,Australia: Albury,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)",Trimastix marina,NA,NA,NA,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)"
AF244906.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. JBD2000,environmental,NA,insecta-associated environment (ENVO missing),symbiont,201979,Reticulitermes hesperus,Canada: British Columbia: Kelowna,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)",Pyrsonympha sp. JBD2000,NA,NA,Reticulitermis hesperus,NA,Oxymonads are closely related to the excavate taxon Trimastix,"Dacks,J.B., Silberman,J.D., Simpson,A.G., Moriya,S., Kudo,T., Ohkuma,M. and Redfield,R.J.","Mol. Biol. Evol. 18 (6), 1034-1044 (2001)"
AY137592.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. AB-2002,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36989,Reticulitermes flavipes,USA: Michigan: Dansville,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)",Dinenympha sp. AB-2002,NA,NA,NA,NA,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)"
AY137593.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha fimbriata,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36989,Reticulitermes flavipes,USA: Michigan: Dansville,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)",Dinenympha fimbriata,NA,NA,NA,NA,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)"
AY137594.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha gracilis,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36989,Reticulitermes flavipes,USA: Michigan: Dansville,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)",Dinenympha gracilis,NA,NA,NA,NA,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)"
AY137595.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. AB-2002,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36989,Reticulitermes flavipes,USA: Michigan: Dansville,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)",Pyrsonympha sp. AB-2002,NA,NA,NA,NA,Phylogenetic diversity and whole-cell hybridization of oxymonad flagellates from the hindgut of the wood-feeding lower termite Reticulitermes flavipes,"Stingl,U. and Brune,A.","Protist 154 (1), 147-155 (2003)"
AY188885.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Streblomastigidae,Streblomastix,Streblomastix strix,Streblomastix strix,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,7503,Zootermopsis angusticollis,Canada: British Columbia: Vancouver: Jericho Beach,Characterisation of a non-canonical genetic code in the oxymonad Streblomastix strix,"Keeling,P.J. and Leander,B.S.","J. Mol. Biol. 326 (5), 1337-1349 (2003)",Streblomastix strix,1,NA,NA,NA,Characterisation of a non-canonical genetic code in the oxymonad Streblomastix strix,"Keeling,P.J. and Leander,B.S.","J. Mol. Biol. 326 (5), 1337-1349 (2003)"
AY188886.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Streblomastigidae,Streblomastix,Streblomastix strix,Streblomastix strix,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,7503,Zootermopsis angusticollis,Canada: British Columbia: Vancouver: Jericho Beach,Characterisation of a non-canonical genetic code in the oxymonad Streblomastix strix,"Keeling,P.J. and Leander,B.S.","J. Mol. Biol. 326 (5), 1337-1349 (2003)",Streblomastix strix,2,NA,NA,NA,Characterisation of a non-canonical genetic code in the oxymonad Streblomastix strix,"Keeling,P.J. and Leander,B.S.","J. Mol. Biol. 326 (5), 1337-1349 (2003)"
AY831435.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Polymastigidae,Monocercomonoides,Monocercomonoides sp.,Monocercomonoides sp. PA203,isolate,NA,mammalia-associated environment (ENVO missing),NA,34839,Chinchilla laniger,NA,Inference of the phylogenetic position of oxymonads based on nine genes: support for metamonada and excavata,"Hampl,V., Horner,D.S., Dyal,P., Kulda,J., Flegr,J., Foster,P.G. and Embley,T.M.","Mol. Biol. Evol. 22 (12), 2508-2518 (2005)",Monocercomonoides sp. PA203,NA,NA,Chinchilla lanigera,NA,Inference of the phylogenetic position of oxymonads based on nine genes: support for metamonada and excavata,"Hampl,V., Horner,D.S., Dyal,P., Kulda,J., Flegr,J., Foster,P.G. and Embley,T.M.","Mol. Biol. Evol. 22 (12), 2508-2518 (2005)"
DQ525690.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus sp. E01,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus sp. E01,E01,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525691.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus sp. E02,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus sp. E02,E02,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525692.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus sp. E03,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus sp. E03,E03,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525693.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,E04,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525694.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,E05,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525695.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,E06,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525696.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,E07,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525697.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,E08,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525698.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus sp. E09,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus sp. E09,E09,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525699.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus sp. E10,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus sp. E10,E10,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525700.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus doroaxostylus,Saccinobaculus doroaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus doroaxostylus,E11,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525701.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus doroaxostylus,Saccinobaculus doroaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus doroaxostylus,E12,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525702.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus doroaxostylus,Saccinobaculus doroaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus doroaxostylus,E13,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525703.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus doroaxostylus,Saccinobaculus doroaxostylus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Virginia: Giles County: Mountain Lake Biological Station,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus doroaxostylus,E14,symbiont of Cryptocercus punctulatus,NA,"USA: Mountain Lake Biological Station, Giles Co., VA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525704.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus doroaxostylus,Saccinobaculus doroaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Georgia: Rabun County: Black Rock Mountain,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus doroaxostylus,I1,symbiont of Cryptocercus punctulatus,NA,"USA: Black Rock Mountain, Rabun Co., GA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525705.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I2a,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525706.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I2b,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525707.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I3a,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525708.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I3b,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525709.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I4a,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525710.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I4b,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525711.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I5a,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525712.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: North Carolina: Haywood County: Bear Trap Gap,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I5b,symbiont of Cryptocercus punctulatus,NA,"USA: Bear Trap Gap, Haywood Co., NC",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525713.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Georgia: Rabun County: Black Rock Mountain,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I6a,symbiont of Cryptocercus punctulatus,NA,"USA: Black Rock Mountain, Rabun Co., GA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
