accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_gb,host_taxonomy,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
EF050056,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus vortens,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),parasite,69811,Leuciscus idus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊActinopterygii;ÊActinopteri;ÊNeopterygii;ÊTeleostei;ÊOsteoglossocephalai;ÊClupeocephala;ÊOtomorpha;ÊOstariophysi;ÊOtophysi;ÊCypriniphysae;ÊCypriniformes;ÊCyprinoidea;ÊCyprinidae;ÊLeuciscus,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)",Spironucleus vortens,,intestine,Leuciscus idus,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)"
EF050054,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus meleagridis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),parasite,9103,Meleagris gallopavo,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊArchosauria;ÊDinosauria;ÊSaurischia;ÊTheropoda;ÊCoelurosauria;ÊAves;ÊNeognathae;ÊGalloanserae;ÊGalliformes;ÊPhasianidae;ÊMeleagridinae;ÊMeleagris,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)",Spironucleus meleagridis,,intestine,Meleagris gallopavo,NA,Phylogeny of spironucleus (eopharyngia: diplomonadida: hexamitinae),"Jorgensen,A. and Sterud,E.","Protist 158 (2), 247-254 (2007)"
AY646679,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus barkhanus,culture,gall bladder (UBERON:0002110),animal-associated environment (ENVO:01001002),parasite,8036,Salvelinus alpinus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊActinopterygii;ÊActinopteri;ÊNeopterygii;ÊTeleostei;ÊOsteoglossocephalai;ÊClupeocephala;ÊEuteleosteomorpha;ÊProtacanthopterygii;ÊSalmoniformes;ÊSalmonidae;ÊSalmoninae;ÊSalvelinus,Norway,Analysis of SSU rRNA gene sequence reveals two genotypes of Spironucleus barkhanus (Diplomonadida; Hexamitidae) from farmed and wild Arctic charr Salvelinus alpinus,"Jorgensen,A. and Sterud,E.",Dis. Aquat. Org. (2004) In press,Spironucleus barkhanus,,gall bladder,Salvelinus alpinus,Norway,Analysis of SSU rRNA gene sequence reveals two genotypes of Spironucleus barkhanus (Diplomonadida; Hexamitidae) from farmed and wild Arctic charr Salvelinus alpinus,"Jorgensen,A. and Sterud,E.",Dis. Aquat. Org. (2004) In press
AY677182,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus salmonicida,isolate,gall bladder (UBERON:0002110),animal-associated environment (ENVO:01001002),parasite,8030,Salmo salar,Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Euteleosteomorpha; Protacanthopterygii; Salmoniformes; Salmonidae; Salmoninae; Salmo,Norway: Fiskfjordvatn lake ,SSU rRNA gene sequence reveals two genotypes of Spironucleus barkhanus (Diplomonadida) from farmed and wild Arctic charr Salvelinus alpinus,"Jorgensen,A. and Sterud,E.","Dis. Aquat. Org. 62 (1-2), 93-96 (2004)",Spironucleus salmonicida,,gall bladder,Salmo salar,"Norway, Fiskfjordvatn lake ",SSU rRNA gene sequence reveals two genotypes of Spironucleus barkhanus (Diplomonadida) from farmed and wild Arctic charr Salvelinus alpinus,"Jorgensen,A. and Sterud,E.","Dis. Aquat. Org. 62 (1-2), 93-96 (2004)"
DQ366277,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Octomitus intestinalis,isolate,gut environment (ENVO:missing),mammalia-associated environment (ENVO missing),parasite,10090,Mus musculus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊGlires;ÊRodentia;ÊMyomorpha;ÊMuroidea;ÊMuridae;ÊMurinae;ÊMus;ÊMus,NA,Evidence from SSU rRNA phylogeny that Octomitus is a sister lineage to Giardia,"Keeling,P.J. and Brugerolle,G.","Protist 157 (2), 205-212 (2006)",Octomitus intestinalis,,caecum Mus musculus,Mus musculus,NA,Evidence from SSU rRNA phylogeny that Octomitus is a sister lineage to Giardia,"Keeling,P.J. and Brugerolle,G.","Protist 157 (2), 205-212 (2006)"
AY701874,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trimitus sp.,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),parasite,904210,Aspideretes gangeticus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊTestudines;ÊCryptodira;ÊTrionychia;ÊTrionychidae;ÊNilssonia,NA,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)",Trimitus sp.,TRION,intestine of Aspideretes gangeticus,Aspideretes gangeticus,NA,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)"
AY701873,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trimitus sp.,isolate,cloaca (UBERON:0000162),animal-associated environment (ENVO:01001002),parasite,8404,Rana pipiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmphibia;ÊBatrachia;ÊAnura;ÊNeobatrachia;ÊRanoidea;ÊRanidae;ÊRana;ÊPantherana,Czech Republic,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)",Trimitus sp.,RAPI1,cloaca of Rana pipiens,Rana pipiens,Czech Republic,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)"
AY701872,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Enteromonadidae sp.,isolate,feces  (ENVO:00002003),mammalia-associated environment (ENVO missing),parasite,9913,Bos taurus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCetartiodactyla;ÊRuminantia;ÊPecora;ÊBovidae;ÊBovinae;ÊBos,Czech Republic,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)",Enteromonadidae sp.,KR-PO3,faeces of cattle,Bos taurus,Czech Republic,The phylogenetic position of enteromonads: a challenge for the present models of diplomonad evolution,"Kolisko,M., Cepicka,I., Hampl,V., Kulda,J. and Flegr,J.","Int. J. Syst. Evol. Microbiol. 55 (PT 4), 1729-1733 (2005)"
EF551173,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trepomonas steinii,culture,anaerobic sediment (ENVO:00002045),freshwater biome (ENVO:00000873),free-living,NA,NA,NA,Czech Republic: Vltava river: South Bohemia,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",Trepomonas steinii,LUH3,freshwater anoxic sediment,NA,Czech Republic,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
EF551174,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trepomonas sp.,isolate,anaerobic sediment (ENVO:00002045),freshwater biome (ENVO:00000873),free-living,NA,NA,NA,Canada: Nova Scotia: Halifax: Point Pleasant Park pond,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",Trepomonas sp.,PPS6,freshwater anoxic sediment,NA,"Canada: Nova Scotia, Halifax, Point Pleasant Park pond","Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
EF551178,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Enteromonas sp.,isolate,NA,animal-associated environment (ENVO:01001002),parasite,50047,Geochelone carbonaria,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊTestudines;ÊCryptodira;ÊDurocryptodira;ÊTestudinoidea;ÊTestudinidae;ÊChelonoidis,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",Enteromonas sp.,GECA2,NA,Geochelone carbonaria,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
EF551181,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus sp.,culture,NA,animal-associated environment (ENVO:01001002),parasite,569598,Geochelone pardalis,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊTestudines;ÊCryptodira;ÊDurocryptodira;ÊTestudinoidea;ÊTestudinidae;ÊStigmochelys,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",Spironucleus sp.,GEPA2H,NA,Geochelone pardalis,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
EU043230,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Spironucleus muris,isolate,NA,NA,NA,NA,NA,NA,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",NA,,NA,NA,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
EF551180,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Enteromonas hominis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)",Enteromonas hominis,ENTEROII,NA,Homo sapiens,NA,"Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads","Kolisko,M., Cepicka,I., Hampl,V., Leigh,J., Roger,A.J., Kulda,J., Simpson,A.G. and Flegr,J.","BMC Evol. Biol. 8, 205 (2008)"
GU827591,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,isolate,sediment (ENVO:00002007),inland salt marsh (ENVO missing),free-living,NA,NA,NA,USA: Nebraska,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Carpediemonas sp.,NC,inland salt marsch sediment,NA,USA: Nebraska,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827590,Eukaryota,Excavata,Metamonada,Fornicata,Caviomonadidae,Caviomonadidae,Caviomonadidae,Caviomonadidae,Caviomonadidae,Carpediemonas-like organisms,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,USA: Massachusetts: Prince cove ,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Carpediemonas sp.,PCS,littoral marine sediments,NA,"USA: Massachusetts, Prince cove ",A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827593,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Canada: Nova Scotia: Halifax,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)", Kipferlia bialata ,PPP15C,littoral marine sediments,NA,"Canada: Neva Scotia, Halifax",A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827595,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Dysnectes sp.,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Sivota,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Dyscnetes sp.,SIVOTA,littoral marine sediments,NA,Greece: Sivota,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827594,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas membranifera,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Canada: British Columbia,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Carpediemonas membranifera,BICM,littoral marine sediments,NA,Canada: British Columbia,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827599,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,KR3,littoral marine sediments,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827598,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,India: Allapuzha,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,ALLEPEYI,littoral marine sediments,NA,India: Allapuzha,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827592,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Ergobibamus cyprinoides,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Canada: Mahone Bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Ergobibamus cyprinoides,CL,littoral marine sediments,NA,Canada: Mahone Bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827597,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Cyprus: Larnaka,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,LARNAKA2,littoral marine sediments,NA,Cyprus: Canada,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827596,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Marmara,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,GR1,littoral marine sediments,NA,Greece: Marmara,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
